0000                                    	1-GENERAL                               	PRUEBA                                  	                                        	                                        	           0,01	           0,00
755406134964                            	21-CAMISAS / BLUSAS                     	CUELLO TORTUGA MARRON T/L               	                                        	                                        	          77,59	          25,86	P2MSB05N
755406134971                            	21-CAMISAS / BLUSAS                     	CUELLO TORTUGA MARRON T/M               	                                        	                                        	          77,59	          25,86	P2MSB05N
755406134988                            	21-CAMISAS / BLUSAS                     	CUELLO TORTUGA MARRON T/S               	                                        	                                        	          77,59	          25,86	P2MSB05N
755406135190                            	21-CAMISAS / BLUSAS                     	CUELLO TORTUGA MARRON T/XS              	                                        	                                        	          77,59	          25,86	P2MSB05N
755406135480                            	21-CAMISAS / BLUSAS                     	BLUSA NEGRA ESCARCHADA T/L              	                                        	                                        	         103,45	          34,48	P2MH7OJH
755406135497                            	21-CAMISAS / BLUSAS                     	BLUSA NEGRA ESCARCHADA T/M              	                                        	                                        	         103,45	          34,48	P2MH7OJH
755406135503                            	21-CAMISAS / BLUSAS                     	BLUSA NEGRA ESCARCHADA T/S              	                                        	                                        	         103,45	          34,48	P2MH7OJH
755406135510                            	21-CAMISAS / BLUSAS                     	BLUSA NEGRA ESCARCHADA T/XS             	                                        	                                        	         103,45	          34,48	P2MH7OJH
755406149449                            	20-CARTERAS                             	BANDOLERO NEGRO DE CUERO CADENA PLATEADA	                                        	                                        	         288,79	          94,83	R74E3005
755406150575                            	20-CARTERAS                             	CARTERA NEGRA                           	                                        	                                        	         297,41	          99,14	R21C3R74
755406151534                            	19-ZAPATOS                              	ZAPATO LENTEJUELA AQUA  T/5,5           	                                        	                                        	         185,34	          60,34	K2290948
755406153897                            	19-ZAPATOS                              	TARJETERO COLOR MELOCOTON               	                                        	                                        	          73,28	          23,71	R92Z3C09
755406153927                            	20-CARTERAS                             	CARTERA KIERA DEMI                      	                                        	                                        	         206,90	          68,97	R22HKS70
755406153934                            	20-CARTERAS                             	BANDOLER CAMEL MEDIANO                  	                                        	                                        	         275,86	          86,21	R22ERS79
755406153941                            	20-CARTERAS                             	CROSSBODY NEGRO PEQ CANDADO             	                                        	                                        	         193,97	          64,66	R22EAS83
755406153996                            	20-CARTERAS                             	BANDOLERO AZUL ESTAMPADO LETRAS BLANCAS 	                                        	                                        	         232,76	          77,59	R223IC81
755406154030                            	28-ACCESORIOS (CORREAS Y MONEDEROS)     	MONEDERO BEIGE                          	                                        	                                        	          73,28	          23,71	R01Z3H42
755406158311                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELA NEGRO T/35,5       	                                        	                                        	         185,34	          60,34	K2290948
755406158540                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELAS PLATEADO          	                                        	                                        	         185,34	          60,34	K2290948
755406158564                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELAS PLATEADO          	                                        	                                        	         185,34	          60,34	K2290948
755406158571                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELAS PLATEADO          	                                        	                                        	         185,34	          60,34	K2290948
755406158588                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELA PLATA T/38         	                                        	                                        	         185,34	          60,34	K2290948
755406158595                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELAS PLATEADO          	                                        	                                        	         185,34	          60,34	K2290948
755406158601                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELAS PLATEADO          	                                        	                                        	         185,34	          60,34	K2290948
755406158618                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELAS PLATEADO          	                                        	                                        	         185,34	          60,34	K2290948
755406158625                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELAS PLATEADO T/36     	                                        	                                        	         185,34	          60,34	K2290948
755406158632                            	19-ZAPATOS                              	ZAPATO LENTEJUELA AQUA  T/10            	                                        	                                        	         185,34	          60,34	755406158632
755406158656                            	19-ZAPATOS                              	ZAPATO LENTEJUELA AQUA  T/9             	                                        	                                        	         185,34	          60,34	K2290948
755406158663                            	19-ZAPATOS                              	ZAPATO LENTEJUELA AQUA  T/8,5           	                                        	                                        	         185,34	          60,34	K2290948
755406158670                            	19-ZAPATOS                              	ZAPATO LENTEJUELA AQUA  T/8             	                                        	                                        	         185,34	          60,34	K2290948
755406158687                            	19-ZAPATOS                              	ZAPATO LENTEJUELA AQUA  T/7,5           	                                        	                                        	         185,34	          60,34	K2290948
755406158694                            	19-ZAPATOS                              	ZAPATO LENTEJUELA AQUA  T/7             	                                        	                                        	         185,34	          60,34	K2290948
755406158700                            	19-ZAPATOS                              	ZAPATO LENTEJUELA AQUA  T/6,5           	                                        	                                        	         185,34	          60,34	K2290948
755406158717                            	19-ZAPATOS                              	ZAPATO LENTEJUELA AQUA  T/6             	                                        	                                        	         185,34	          60,34	K2290948
755406158724                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELA NEGRO T/10         	                                        	                                        	         185,34	          60,34	K2290948
755406158748                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELA NEGRO T/9          	                                        	                                        	         185,34	          60,34	K2290948
755406158755                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELA NEGRO T/38,5       	                                        	                                        	         185,34	          60,34	K2290948
755406158762                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELA NEGRO T/38         	                                        	                                        	         185,34	          60,34	K2290948
755406158779                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELA NEGRO T/37,5       	                                        	                                        	         185,34	          60,34	K2290948
755406158786                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELA NEGRO T/37         	                                        	                                        	         185,34	          60,34	K2290948
755406158793                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELA NEGRO T/36,5       	                                        	                                        	         185,34	          60,34	K2290948
755406158809                            	19-ZAPATOS                              	DEPORTIVO LENTEJUELA NEGRO T/36         	                                        	                                        	         185,34	          60,34	K2290948
755406159196                            	19-ZAPATOS                              	AKI-LACE MALLA NEGRO 5,5                	                                        	                                        	         172,41	          56,03	K2224739
755406159349                            	20-CARTERAS                             	CARTERA CROSSBODY MOSTAZA T/***         	                                        	                                        	         232,76	          77,59	R22EBT02
755406160697                            	19-ZAPATOS                              	SANDALIAS ALTAS COLOR ORO T/40          	                                        	                                        	         185,34	          60,34	K2251550
755406160703                            	19-ZAPATOS                              	SANDALIAS ALTAS COLOR ORO T/39          	                                        	                                        	         185,34	          60,34	K2251550
755406160710                            	19-ZAPATOS                              	SANDALIAS ALTAS COLOR ORO T/38,5        	                                        	                                        	         185,34	          60,34	K2251550
755406160727                            	19-ZAPATOS                              	SANDALIAS ALTAS COLOR ORO T/38          	                                        	                                        	         185,34	          60,34	K2251550
755406160734                            	19-ZAPATOS                              	SANDALIAS ALTAS COLOR ORO T/37,5        	                                        	                                        	         185,34	          60,34	K2251550
755406160741                            	19-ZAPATOS                              	SANDALIAS ALTAS COLOR ORO T/37          	                                        	                                        	         185,34	          60,34	K2251550
755406161786                            	19-ZAPATOS                              	SANDALIAS NEGRAS TACHAS/CORREA T/10     	                                        	                                        	         185,34	          60,34	K2278517
755406161809                            	19-ZAPATOS                              	SANDALIAS NEGRAS TACHAS/CORREA T/9      	                                        	                                        	         185,34	          60,34	K2278517
755406161823                            	19-ZAPATOS                              	SANDALIAS NEGRAS TACHAS/CORREA T/8      	                                        	                                        	         185,34	          60,34	K2278517
755406161847                            	19-ZAPATOS                              	SANDALIAS NEGRAS TACHAS/CORREA T/7      	                                        	                                        	         185,34	          60,34	K2278517
755406161861                            	19-ZAPATOS                              	SANDALIAS NEGRAS TACHAS/CORREA T/6      	                                        	                                        	         185,34	          60,34	K2278517
755406162271                            	20-CARTERAS                             	CARTERA NEG LINEAS DIAGONAL+CADENA PLA  	                                        	                                        	         379,31	         125,00	R223BS95
755406163087                            	20-CARTERAS                             	CARTERA DE MANO NEGRA DE CUERO          	                                        	                                        	         193,97	          64,66	R22EZJ79
755406163100                            	20-CARTERAS                             	CARTERA DKNY TEXTURA+CADENA PLATA       	                                        	                                        	         254,31	          84,05	R22CZK69
755406163124                            	20-CARTERAS                             	CARTERA CARNE                           	                                        	                                        	         297,41	          99,14	R22AZJ80
755406163131                            	20-CARTERAS                             	CARTERA NEGRA TXTO PLATEADO             	                                        	                                        	         297,41	          96,98	R22AZJ80
755406164091                            	25-LEGGINS / BIKER / SHORTS             	BIKER NEGRO SATINADO T/L                	                                        	                                        	          73,28	          23,71	DP2S5014
755406164107                            	25-LEGGINS / BIKER / SHORTS             	BIKER NEGRO SATINADO T/M                	                                        	                                        	          73,28	          23,71	DP2S5014
755406164114                            	25-LEGGINS / BIKER / SHORTS             	BIKER NEGRO SATINADO T/S                	                                        	                                        	          73,28	          23,71	DP2S5014
755406164121                            	25-LEGGINS / BIKER / SHORTS             	BIKER NEGRO SATINADO T/XS               	                                        	                                        	          73,28	          23,71	DP2S5014
755406164923                            	27-BLAZER / CHAQUETAS                   	SUETER HUESO CON NEGR T/L               	                                        	                                        	          94,83	          30,17	DP2T8237
755406164930                            	27-BLAZER / CHAQUETAS                   	SUETER HUESO CON NEGR T/M               	                                        	                                        	          94,83	          30,17	DP2T8237
755406164947                            	27-BLAZER / CHAQUETAS                   	SUETER HUESO CON NEGR T/S               	                                        	                                        	          94,83	          30,17	DP2T8237
755406164954                            	27-BLAZER / CHAQUETAS                   	SUETER HUESO CON NEGR T/XS              	                                        	                                        	          94,83	          30,17	DP2T8237
755406165050                            	27-BLAZER / CHAQUETAS                   	SUETER NEGR ZIPPER BLANC T/L            	                                        	                                        	          94,83	          30,17	DP2T8237
755406165067                            	27-BLAZER / CHAQUETAS                   	SUETER NEGR ZIPPER BLANC T/M            	                                        	                                        	          94,83	          30,17	DP2T8237
755406165074                            	27-BLAZER / CHAQUETAS                   	SUETER NEGR ZIPPER BLANC T/S            	                                        	                                        	          94,83	          30,17	DP2T8237
755406165081                            	27-BLAZER / CHAQUETAS                   	SUETER NEGR ZIPPER BLANC T/XS           	                                        	                                        	          94,83	          30,17	DP2T8237
755406165425                            	20-CARTERAS                             	KOALA DKNY DENNIN                       	                                        	                                        	         172,41	          56,03	R22ILO50
755406165890                            	20-CARTERAS                             	MORRAL AZUL                             	                                        	                                        	         193,97	          64,66	R22KL350
755406165906                            	20-CARTERAS                             	TILLY CROSSBODY                         	                                        	                                        	         172,41	          56,03	R22ELT01
755406169218                            	27-BLAZER / CHAQUETAS                   	CHALECO NEGRO PUFFER T/L T/L            	                                        	                                        	         103,45	          34,48	DP2V3111
755406169225                            	27-BLAZER / CHAQUETAS                   	CHALECO NEGRO PUFFER T/M T/M            	                                        	                                        	         103,45	          34,48	DP2V3111
755406169232                            	27-BLAZER / CHAQUETAS                   	CHALECO NEGRO PUFFER T/S T/S            	                                        	                                        	         103,45	          34,48	DP2V3111
755406169249                            	27-BLAZER / CHAQUETAS                   	CHALECO NEGRO PUFFER T/XS T/XS          	                                        	                                        	         103,45	          34,48	DP2V3111
755406169713                            	20-CARTERAS                             	CARTERA CROSSBODY CAMEL T/***           	                                        	                                        	         232,76	          77,59	R22EBT02
755406169751                            	20-CARTERAS                             	CROSSBODY CARAMELO SINTENTICO CADENA DOR	                                        	                                        	         193,97	          64,66	R22GBT04
755406169782                            	20-CARTERAS                             	CROSSBODY NEGRO CUERO                   	                                        	                                        	         232,76	          77,59	R22GBS86
755406169980                            	20-CARTERAS                             	CARTERA MARRON MONOGRAM MEDIANA         	                                        	                                        	         297,41	          99,14	R22AFS41
755406170139                            	20-CARTERAS                             	BANDOLERA MARRON                        	                                        	                                        	         193,97	          60,00
755406170313                            	20-CARTERAS                             	CROSSBODY NEGRO PEQ SINTETICO CADENA DOR	                                        	                                        	         232,76	          64,66	R22EBT02
755406170320                            	20-CARTERAS                             	CROSSBODY NEGRO SINTETICO CADENA DORADA 	                                        	                                        	         193,97	          64,66	R22GBT04
755406170450                            	20-CARTERAS                             	CARTERA ARO PLAT MARRON                 	                                        	                                        	         254,31	          84,05	R22AZS49
755406170467                            	20-CARTERAS                             	CROSSBODY CAFÉ                          	                                        	                                        	         193,97	          64,66	R22EZS50
755406170528                            	20-CARTERAS                             	BOLSO CAROL BUCKET                      	                                        	                                        	         206,90	          68,97	R22JFS40
755406170573                            	20-CARTERAS                             	CROSSBODY PEQ MOSTAZA                   	                                        	                                        	         193,97	          64,66	R22EKS73
755406171082                            	20-CARTERAS                             	CROSSBODY NEGRO PQ                      	                                        	                                        	         193,97	          64,66	R22EKS73
755406174267                            	19-ZAPATOS                              	STILETTO MONOGRAMA T/7                  	                                        	                                        	         155,17	          51,72	K2271264
755406174366                            	19-ZAPATOS                              	AKI-LACE MALLA BLANCO 5,5               	                                        	                                        	         172,41	          56,03	K2224739
755406175028                            	21-CAMISAS / BLUSAS                     	BLUSA NEGRA MANGA DE MALLA T/XL         	                                        	                                        	          99,14	          32,33	P23SBC87
755406175035                            	21-CAMISAS / BLUSAS                     	BLUSA NEGRA MANGA DE MALLA T/L          	                                        	                                        	          99,14	          32,33	P23SBC87
755406175042                            	21-CAMISAS / BLUSAS                     	BLUSA NEGRA MANGA DE MALLA T/M          	                                        	                                        	          99,14	          32,33	P23SBC87
755406175059                            	21-CAMISAS / BLUSAS                     	BLUSA NEGRA MANGA DE MALLA T/S          	                                        	                                        	          99,14	          32,33	P23SBC87
755406175066                            	21-CAMISAS / BLUSAS                     	BLUSA NEGRA MANGA DE MALLA T/XS         	                                        	                                        	          99,14	          32,33	P23SBC87
755406175097                            	21-CAMISAS / BLUSAS                     	BLUSA ML ANIMAL PRINT T/XL              	                                        	                                        	          94,83	          30,17	P23H8GPC
755406175103                            	21-CAMISAS / BLUSAS                     	BLUSA ML ANIMAL PRINT T/L               	                                        	                                        	          94,83	          30,17	P23H8GPC
755406175110                            	21-CAMISAS / BLUSAS                     	BLUSA ML ANIMAL PRINT T/M               	                                        	                                        	          94,83	          30,17	P23H8GPC
755406175127                            	21-CAMISAS / BLUSAS                     	BLUSA ML ANIMAL PRINT T/S               	                                        	                                        	          94,83	          30,17	P23H8GPC
755406175134                            	21-CAMISAS / BLUSAS                     	BLUSA ML ANIMAL PRINT T/XS              	                                        	                                        	          94,83	          30,17	P23H8GPC
755406175394                            	27-BLAZER / CHAQUETAS                   	SUETER NEGRO CON MANGA TIGREZA T/XL     	                                        	                                        	         103,45	          34,48	P23SAC87
755406175400                            	27-BLAZER / CHAQUETAS                   	SUETER NEGRO CON MANGA TIGREZA T/L      	                                        	                                        	         103,45	          34,48	P23SAC87
755406175417                            	27-BLAZER / CHAQUETAS                   	SUETER NEGRO CON MANGA TIGREZA T/M      	                                        	                                        	         103,45	          34,48	P23SAC87
755406175424                            	27-BLAZER / CHAQUETAS                   	SUETER NEGRO CON MANGA TIGREZA T/S      	                                        	                                        	         103,45	          34,48	P23SAC87
755406175431                            	27-BLAZER / CHAQUETAS                   	SUETER NEGRO CON MANGA TIGREZA T/XS     	                                        	                                        	         103,45	          34,48	P23SAC87
755406176391                            	23-PANTALONES / JOGGER                  	PANTALON NEGRO BOTA ANCHA T/14          	                                        	                                        	         103,45	          34,48	P2RKAO19
755406176407                            	23-PANTALONES / JOGGER                  	PANTALON NEGRO BOTA ANCHA T/12          	                                        	                                        	         103,45	          34,48	P2RKAO19
755406176414                            	23-PANTALONES / JOGGER                  	PANTALON NEGRO BOTA ANCHA T/10          	                                        	                                        	         103,45	          34,48	P2RKAO19
755406176421                            	23-PANTALONES / JOGGER                  	PANTALON NEGRO BOTA ANCHA T/8           	                                        	                                        	         103,45	          34,48	P2RKAO19
755406176438                            	23-PANTALONES / JOGGER                  	PANTALON NEGRO BOTA ANCHA T/6           	                                        	                                        	         103,45	          34,48	P2RKAO19
755406176445                            	23-PANTALONES / JOGGER                  	PANTALON NEGRO BOTA ANCHA T/4           	                                        	                                        	         103,45	          34,48	P2RKAO19
755406176452                            	23-PANTALONES / JOGGER                  	PANTALON NEGRO BOTA ANCHA T/2           	                                        	                                        	         103,45	          34,48	P2RKAO19
755406176575                            	21-CAMISAS / BLUSAS                     	CAMISA ML NEG CIERRE T/XL               	                                        	                                        	          94,83	          30,17	P23MNO20
755406176582                            	21-CAMISAS / BLUSAS                     	CAMISA ML NEG CIERRE T/L                	                                        	                                        	          94,83	          30,17	P23MNO20
755406176599                            	21-CAMISAS / BLUSAS                     	CAMISA ML NEG CIERRE T/M                	                                        	                                        	          94,83	          30,17	P23MNO20
755406176605                            	21-CAMISAS / BLUSAS                     	CAMISA ML NEG CIERRE T/S                	                                        	                                        	          94,83	          30,17	P23MNO20
755406176612                            	21-CAMISAS / BLUSAS                     	CAMISA ML NEG CIERRE T/XS               	                                        	                                        	          94,83	          30,17	P23MNO20
755406176988                            	19-ZAPATOS                              	BOTIN DE CIERRE MEDIA MARRON T/35,5     	                                        	                                        	         185,34	          60,34	K2256083
755406178180                            	19-ZAPATOS                              	BOTIN NEGRO DE CUERO 5,5                	                                        	                                        	         185,34	          60,34	K2261986
755406179484                            	19-ZAPATOS                              	AKI-LACE MALLA BLANCO 8                 	                                        	                                        	         172,41	          56,03	K2224739
755406179491                            	19-ZAPATOS                              	AKI-LACE MALLA BLANCO 7                 	                                        	                                        	         172,41	          56,03	K2224739
755406179972                            	19-ZAPATOS                              	STILETTO MONOGRAMA T/9                  	                                        	                                        	         155,17	          51,72	K2271264
755406179989                            	19-ZAPATOS                              	STILETTO MONOGRAMA T/8,5                	                                        	                                        	         155,17	          51,72	K2271264
755406179996                            	19-ZAPATOS                              	STILETTO MONOGRAMA T/8                  	                                        	                                        	         155,17	          51,72	K2271264
755406180008                            	19-ZAPATOS                              	STILETTO MONOGRAMA T/7,5                	                                        	                                        	         155,17	          51,72	K2271264
755406180015                            	19-ZAPATOS                              	STILETTO MONOGRAMA T/6,5                	                                        	                                        	         155,17	          51,72	K2271264
755406180022                            	19-ZAPATOS                              	STILETTO MONOGRAMA T/6                  	                                        	                                        	         155,17	          51,72	K2271264
755406180039                            	19-ZAPATOS                              	STILETTO MONOGRAMA T/5,5                	                                        	                                        	         155,17	          51,72	K2271264
755406180046                            	19-ZAPATOS                              	STILETTO MONOGRAMA T/10                 	                                        	                                        	         155,17	          51,72	K2271264
755406180190                            	19-ZAPATOS                              	BOTIN DEPORTIVO MEDIA VERDE T/35,5      	                                        	                                        	         155,17	          51,72	K2256083
755406180909                            	19-ZAPATOS                              	AKI-LACE MALLA BLANCO 9                 	                                        	                                        	         172,41	          56,03	K2224739
755406180916                            	19-ZAPATOS                              	AKI-LACE MALLA BLANCO 8,5               	                                        	                                        	         172,41	          56,03	K2224739
755406180923                            	19-ZAPATOS                              	AKI-LACE MALLA BLANCO 7,5               	                                        	                                        	         172,41	          56,03	K2224739
755406180930                            	19-ZAPATOS                              	AKI-LACE MALLA BLANCO 6,5               	                                        	                                        	         172,41	          56,03	K2224739
755406180947                            	19-ZAPATOS                              	AKI-LACE MALLA BLANCO 6                 	                                        	                                        	         172,41	          56,03	K2224739
755406180954                            	19-ZAPATOS                              	AKI-LACE MALLA BLANCO 10                	                                        	                                        	         172,41	          56,03	K2224739
755406180985                            	19-ZAPATOS                              	BOTIN DE CIERRE MEDIA MARRON T/41       	                                        	                                        	         185,34	          60,34	K2256083
755406181067                            	19-ZAPATOS                              	AKI-LACE MALLA NEGRO 8                  	                                        	                                        	         172,41	          56,03	K2224739
755406181074                            	19-ZAPATOS                              	AKI-LACE MALLA NEGRO 7                  	                                        	                                        	         172,41	          56,03	K2224739
755406181104                            	2-50% DESCUENTO                         	AKI-LACE MALLA NEGRO 10                 	                                        	                                        	         172,41	          56,03	K2224739
755406181159                            	19-ZAPATOS                              	TACONES PLATEADOS T/40                  	                                        	                                        	         155,17	          51,72	K2279983
755406181173                            	19-ZAPATOS                              	TACONES PLATEADOS T/38,5                	                                        	                                        	         155,17	          51,72	K2279983
755406181197                            	19-ZAPATOS                              	TACONES PLATEADOS T/37,5                	                                        	                                        	         155,17	          51,72	K2279983
755406181210                            	19-ZAPATOS                              	TACONES PLATEADOS T/36                  	                                        	                                        	         155,17	          51,72	K2279983
755406181241                            	19-ZAPATOS                              	TACONES PLATEADOS T/41                  	                                        	                                        	         155,17	          51,72	K2279983
755406181371                            	19-ZAPATOS                              	BOTIN NEGRO DE CUERO 9                  	                                        	                                        	         185,34	          60,34	K2261986
755406181388                            	19-ZAPATOS                              	BOTIN NEGRO DE CUERO 8,5                	                                        	                                        	         185,34	          60,34	K2261986
755406181395                            	19-ZAPATOS                              	BOTIN NEGRO DE CUERO 8                  	                                        	                                        	         185,34	          60,34	K2261986
755406181401                            	19-ZAPATOS                              	BOTIN NEGRO DE CUERO 7,5                	                                        	                                        	         185,34	          60,34	K2261986
755406181418                            	19-ZAPATOS                              	BOTIN NEGRO DE CUERO  7                 	                                        	                                        	         185,34	          60,34	K2261986
755406181425                            	19-ZAPATOS                              	BOTIN NEGRO DE CUERO 6,5                	                                        	                                        	         185,34	          60,34	K2261986
755406181432                            	19-ZAPATOS                              	BOTIN NEGRO DE CUERO 6                  	                                        	                                        	         185,34	          60,34	K2261986
755406181463                            	19-ZAPATOS                              	BOTIN NEGRO DE CUERO 10                 	                                        	                                        	         185,34	          60,34	K2261986
755406181715                            	19-ZAPATOS                              	TACON NEGRO STILETTO PATENTE T/38,5     	                                        	                                        	         172,41	          56,03	K2247124
755406181722                            	19-ZAPATOS                              	TACON NEGRO STILETTO PATENTE T/37,5     	                                        	                                        	         172,41	          56,03	K2247124
755406182286                            	19-ZAPATOS                              	TACONES DE LIGRA NEGROS PATENTE T/40    	                                        	                                        	         155,17	          51,72	K2279983
755406182293                            	19-ZAPATOS                              	TACONES DE LIGRA NEGROS PATENTE T/39    	                                        	                                        	         155,17	          51,72	K2279983
755406182309                            	19-ZAPATOS                              	TACONES DE LIGRA NEGROS PATENTE T/38,5  	                                        	                                        	         155,17	          51,72	K2279983
755406182316                            	19-ZAPATOS                              	TACONES DE LIGRA NEGROS PATENTE T/38    	                                        	                                        	         155,17	          51,72	K2279983
755406182323                            	19-ZAPATOS                              	TACONES DE LIGRA NEGROS PATENTE T/37,5  	                                        	                                        	         155,17	          51,72	K2279983
755406182330                            	19-ZAPATOS                              	TACONES DE LIGRA NEGROS PATENTE T/37    	                                        	                                        	         155,17	          51,72	K2279983
755406183290                            	19-ZAPATOS                              	TACON NEGRO STILETTO PATENTE T/40       	                                        	                                        	         172,41	          56,03	K2247124
755406183306                            	19-ZAPATOS                              	TACON NEGRO STILETTO PATENTE T/39       	                                        	                                        	         172,41	          56,03	K2247124
755406183313                            	19-ZAPATOS                              	TACON NEGRO STILETTO PATENTE T/38       	                                        	                                        	         172,41	          56,03	K2247124
755406183320                            	19-ZAPATOS                              	TACON NEGRO STILETTO PATENTE T/37       	                                        	                                        	         172,41	          56,03	K2247124
755406183337                            	19-ZAPATOS                              	TACON NEGRO STILETTO PATENTE T/36       	                                        	                                        	         172,41	          56,03	K2247124
755406183344                            	19-ZAPATOS                              	TACON NEGRO STILETTO PATENTE T/41       	                                        	                                        	         172,41	          56,03	K2247124
755406183863                            	19-ZAPATOS                              	NIX-LACE DEPO POLIPIEL NEGRO 10         	                                        	                                        	         172,41	          56,03	K2250299
755406184143                            	19-ZAPATOS                              	ADINA LACE DEP NEGRO RELIEVE T/10       	                                        	                                        	         185,34	          60,34	K2271384
755406185492                            	19-ZAPATOS                              	NIX-LACE DEPO POLIPIEL NEGRO 5,5        	                                        	                                        	         172,41	          56,03	K2250299
755406186680                            	19-ZAPATOS                              	NIX-LACE DEPO POLIPIEL NEGRO 9          	                                        	                                        	         172,41	          56,03	K2250299
755406186697                            	19-ZAPATOS                              	NIX-LACE DEPO POLIPIEL NEGRO 8,5        	                                        	                                        	         172,41	          56,03	K2250299
755406186703                            	19-ZAPATOS                              	NIX-LACE DEPO POLIPIEL NEGRO 7,5        	                                        	                                        	         172,41	          56,03	K2250299
755406186710                            	19-ZAPATOS                              	NIX-LACE DEPO POLIPIEL NEGRO 6,5        	                                        	                                        	         172,41	          56,03	K2250299
755406186802                            	19-ZAPATOS                              	ADINA LACE DEP NEGRO RELIEVE T/9        	                                        	                                        	         185,34	          60,34	K2271384
755406186888                            	19-ZAPATOS                              	BOTIN MEDIA AZUL T/40                   	                                        	                                        	         185,34	          60,34	K2256083
755406186895                            	19-ZAPATOS                              	BOTIN DE CIERRE MEDIA MARRON T/39       	                                        	                                        	         185,34	          60,34	K2256083
755406186901                            	19-ZAPATOS                              	BOTIN DE CIERRE MEDIA MARRON T/38       	                                        	                                        	         185,34	          60,34	K2256083
755406186918                            	19-ZAPATOS                              	BOTIN DE CIERRE MEDIA MARRON T/37       	                                        	                                        	         185,34	          60,34	K2256083
755406187014                            	19-ZAPATOS                              	AKI-LACE MALLA NEGRO 9                  	                                        	                                        	         172,41	          56,03	K2224739
